Shawnda, 2017, 5, 6, 5, 2, 5, 8
Shawnda, 2016, 5, 8, 8, 7, 7, 9
Shawnda, 2015, 5, 8, 4, 4, 7, 6
Shawnda, 2014, 7, 7, 4, 1, 6, 8
Shawnda, 2013, 6, 6, 5, 2, 6, 7
Shawnda, 2012, 6, 10, 5, 5, 5, 2
Shawnda, 2011, 5, 6, 7, 5, 4, 5
Allison, 2017, 3, 8, 5, 2, 5, 10
Taunya, 2017, 7, 4, 6, 5, 4, 5
Taunya, 2016, 8, 5, 1, 6, 5, 10
Taunya, 2015, 6, 6, 3, 10, 10, 5
Taunya, 2014, 7, 6, 6, 8, 6, 9
Taunya, 2013, 5, 7, 5, 10, 4, 5
Taunya, 2012, 5, 6, 6, 5, 3, 2
Colton, 2017, 9, 6, 4, 3, 6, 5
Colton, 2016, 3, 4, 7, 1, 3, 4
Colton, 2015, 4, 5, 5, 6, 5, 4
Vinnie, 2017, 4, 1, 10, 4, 5, 6
Vinnie, 2016, 9, 6, 5, 6, 2, 5
Vinnie, 2015, 10, 5, 2, 6, 4, 9
Vinnie, 2014, 2, 5, 9, 2, 8, 1
Vinnie, 2013, 2, 7, 3, 6, 5, 4
Delora, 2017, 2, 5, 5, 7, 6, 5
Delora, 2016, 5, 6, 5, 6, 5, 9
Delora, 2015, 2, 5, 6, 8, 2, 5
Delora, 2014, 2, 6, 5, 7, 5, 7
Delora, 2013, 2, 6, 7, 8, 2, 5
Delora, 2012, 8, 4, 5, 5, 5, 5
Delora, 2011, 5, 10, 5, 6, 5, 2
Delora, 2010, 5, 7, 7, 6, 4, 5
Delora, 2009, 5, 2, 6, 5, 10, 7
Delora, 2008, 6, 4, 6, 7, 2, 1
Raul, 2017, 3, 5, 8, 6, 7, 5
Raul, 2016, 8, 5, 4, 5, 4, 3
Raul, 2015, 6, 7, 2, 5, 8, 5
Raul, 2014, 3, 8, 1, 5, 5, 5
Raul, 2013, 7, 1, 2, 4, 5, 4
Raul, 2012, 2, 4, 5, 10, 7, 8
Raul, 2011, 10, 6, 7, 5, 8, 6
Raul, 2010, 8, 4, 5, 9, 6, 2
Raul, 2009, 5, 5, 4, 2, 4, 2
Raul, 2008, 4, 3, 7, 3, 4, 5
Cary, 2017, 5, 5, 8, 8, 1, 6
Cary, 2016, 5, 2, 5, 1, 6, 3
Cary, 2015, 4, 2, 4, 2, 5, 7
Cary, 2014, 5, 4, 4, 8, 3, 9
Cary, 2013, 3, 5, 6, 3, 9, 5
Cary, 2012, 8, 5, 5, 5, 9, 5
Cary, 2011, 5, 2, 1, 5, 5, 5
Cary, 2010, 1, 3, 2, 6, 3, 7
Cary, 2009, 5, 4, 6, 1, 5, 2
Filiberto, 2017, 6, 5, 6, 7, 2, 4
Jacquelin, 2017, 4, 7, 5, 5, 2, 4
Jacquelin, 2016, 1, 6, 6, 2, 5, 7
Jacquelin, 2015, 3, 3, 8, 1, 2, 5
Jacquelin, 2014, 4, 3, 2, 1, 6, 3
Jacquelin, 2013, 10, 4, 3, 3, 3, 5
Alva, 2017, 4, 3, 1, 6, 5, 8
Alva, 2016, 5, 3, 8, 10, 6, 8
Alva, 2015, 4, 1, 2, 7, 5, 4
Alva, 2014, 3, 5, 6, 2, 7, 2
Alva, 2013, 5, 7, 6, 1, 3, 7
Alva, 2012, 4, 7, 1, 9, 9, 9
Alva, 2011, 4, 5, 5, 6, 5, 6
Clorinda, 2017, 9, 5, 6, 6, 5, 5
Clorinda, 2016, 7, 4, 2, 8, 5, 4
Clorinda, 2015, 5, 8, 2, 6, 3, 6
Clorinda, 2014, 5, 6, 5, 7, 5, 1
Clorinda, 2013, 6, 3, 5, 2, 3, 3
Clorinda, 2012, 4, 2, 7, 10, 5, 5
Clorinda, 2011, 3, 9, 2, 2, 5, 7
Clorinda, 2010, 2, 4, 1, 6, 3, 2
Ida, 2017, 8, 3, 7, 8, 7, 8
Ida, 2016, 8, 6, 5, 6, 5, 5
Ida, 2015, 6, 10, 10, 6, 6, 7
Ida, 2014, 5, 4, 5, 1, 4, 6
Andrea, 2017, 2, 5, 8, 5, 2, 2
Andrea, 2016, 4, 2, 5, 3, 6, 1
Andrea, 2015, 5, 7, 7, 5, 4, 1
